time,target,value
9.721822368236689,crush_q,1
9.721822368236689,crush_busy,20t21
10.106060893709477,crush_trv,1
10.106060893709477,crush_q,2
11.60224508185576,crush_trv,2
11.60224508185576,move,20t32,S2toC,1.9012297103755404
11.60224508185576,shvl_busy2,0
11.60224508185576,shvl_q2,0
11.60224508185576,shvl_busy2,50t33
12.142430333401748,crush_trv,1
12.142430333401748,crush_q,3
12.349344835567972,shvl_trv1,1
12.349344835567972,move,20t21,CtoS1,0.8847424457875834
12.349344835567972,crush_busy,0
12.349344835567972,crush_q,2
12.349344835567972,crush_busy,20t31
13.234087281355556,shvl_trv1,0
13.234087281355556,shvl_q1,1
13.5034747922313,crush_trv,0
13.5034747922313,crush_q,3
14.654638485868968,shvl_trv0,0
14.654638485868968,shvl_q0,1
16.20584199890647,shvl_trv2,1
16.20584199890647,move,20t31,CtoS2,3.0386517870453282
16.20584199890647,crush_busy,0
16.20584199890647,crush_q,2
16.20584199890647,crush_busy,20t22
17.746315400893153,shvl_trv1,1
17.746315400893153,move,20t22,CtoS1,0.9664001842715338
17.746315400893153,crush_busy,0
17.746315400893153,crush_q,1
17.746315400893153,crush_busy,20t12
18.510445692765636,crush_trv,1
18.510445692765636,move,50t13,S0toC,3.0572624588829926
18.510445692765636,shvl_busy0,0
18.510445692765636,shvl_q0,0
18.510445692765636,shvl_busy0,20t11
18.712715585164688,shvl_trv1,0
18.712715585164688,shvl_q1,2
19.2444937859518,shvl_trv2,0
19.2444937859518,shvl_q2,1
19.312196452508196,shvl_trv0,1
19.312196452508196,move,20t12,CtoS0,2.5597839156040973
19.312196452508196,crush_busy,0
19.312196452508196,crush_q,0
19.312196452508196,crush_busy,20t32
20.2504061475152,crush_trv,2
20.2504061475152,move,50t23,S1toC,0.9975962561616583
20.2504061475152,shvl_busy1,0
20.2504061475152,shvl_q1,1
20.2504061475152,shvl_busy1,20t21
20.997976791095304,crush_trv,3
20.997976791095304,move,50t33,S2toC,2.265015952961105
20.997976791095304,shvl_busy2,0
20.997976791095304,shvl_q2,0
20.997976791095304,shvl_busy2,20t31
21.22538535188741,shvl_trv2,1
21.22538535188741,move,20t32,CtoS2,3.2538413055291793
21.22538535188741,crush_busy,0
21.248002403676857,crush_trv,2
21.248002403676857,crush_q,1
21.248002403676857,crush_q,0
21.248002403676857,crush_busy,50t23
21.567708151648628,crush_trv,1
21.567708151648628,crush_q,1
21.871980368112293,shvl_trv0,0
21.871980368112293,shvl_q0,1
23.262992744056408,crush_trv,0
23.262992744056408,crush_q,2
23.565567495714397,crush_trv,1
23.565567495714397,move,20t11,S0toC,2.6778559261948693
23.565567495714397,shvl_busy0,0
23.565567495714397,shvl_q0,0
23.565567495714397,shvl_busy0,20t12
24.10105861017563,shvl_trv1,1
24.10105861017563,move,50t23,CtoS1,1.3655036696975724
24.10105861017563,crush_busy,0
24.10105861017563,crush_q,1
24.10105861017563,crush_busy,50t13
24.47922665741659,shvl_trv2,0
24.47922665741659,shvl_q2,1
25.08789420771309,crush_trv,2
25.08789420771309,move,20t21,S1toC,1.342783394574755
25.08789420771309,shvl_busy1,0
25.08789420771309,shvl_q1,0
25.08789420771309,shvl_busy1,20t22
25.4665622798732,shvl_trv1,0
25.4665622798732,shvl_q1,1
26.243423421909267,crush_trv,1
26.243423421909267,crush_q,2
26.430677602287847,crush_trv,0
26.430677602287847,crush_q,3
26.92890353416976,shvl_trv0,1
26.92890353416976,move,50t13,CtoS0,3.3939693947239333
26.92890353416976,crush_busy,0
26.92890353416976,crush_q,2
26.92890353416976,crush_busy,50t33
28.88885925799314,crush_trv,1
28.88885925799314,move,20t22,S1toC,1.5721566141280323
28.88885925799314,shvl_busy1,0
28.88885925799314,shvl_q1,0
28.88885925799314,shvl_busy1,50t23
29.51108843271424,crush_trv,2
29.51108843271424,move,20t31,S2toC,2.0651142930973583
29.51108843271424,shvl_busy2,0
29.51108843271424,shvl_q2,0
29.51108843271424,shvl_busy2,20t32
30.266666031334,crush_trv,3
30.266666031334,move,20t12,S0toC,2.876336431110973
30.266666031334,shvl_busy0,0
30.32287292889369,shvl_trv0,0
30.32287292889369,shvl_q0,1
30.32287292889369,shvl_q0,0
30.32287292889369,shvl_busy0,50t13
30.461015872121173,crush_trv,2
30.461015872121173,crush_q,3
31.11775747442011,shvl_trv2,1
31.11775747442011,move,50t33,CtoS2,2.3319259121464615
31.11775747442011,crush_busy,0
31.11775747442011,crush_q,2
31.11775747442011,crush_busy,20t11
31.576202725811598,crush_trv,1
31.576202725811598,crush_q,3
33.143002462444976,crush_trv,0
33.143002462444976,crush_q,4
33.16354836609907,shvl_trv0,1
33.16354836609907,move,20t11,CtoS0,2.989818600946785
33.16354836609907,crush_busy,0
33.16354836609907,crush_q,3
33.16354836609907,crush_busy,20t21
33.37410288132944,crush_trv,1
33.37410288132944,move,20t32,S2toC,2.862301968036598
33.37410288132944,shvl_busy2,0
33.44968338656657,shvl_trv2,0
33.44968338656657,shvl_q2,1
33.44968338656657,shvl_q2,0
33.44968338656657,shvl_busy2,50t33
34.810995484021056,shvl_trv1,1
34.810995484021056,move,20t21,CtoS1,1.462850433506814
34.810995484021056,crush_busy,0
34.810995484021056,crush_q,2
34.810995484021056,crush_busy,20t22
36.153366967045855,shvl_trv0,0
36.153366967045855,shvl_q0,1
36.23640484936604,crush_trv,0
36.23640484936604,crush_q,3
36.27384591752787,shvl_trv1,0
36.27384591752787,shvl_q1,1
36.599024876398566,shvl_trv1,1
36.599024876398566,move,20t22,CtoS1,2.403730901148152
36.599024876398566,crush_busy,0
36.599024876398566,crush_q,2
36.599024876398566,crush_busy,20t31
37.5072390193362,crush_trv,1
37.5072390193362,move,50t23,S1toC,1.3253276743286422
37.5072390193362,shvl_busy1,0
37.5072390193362,shvl_q1,0
37.5072390193362,shvl_busy1,20t21
38.83256669366484,crush_trv,0
38.83256669366484,crush_q,3
39.00275577754672,shvl_trv1,0
39.00275577754672,shvl_q1,1
39.080166987927164,shvl_trv2,1
39.080166987927164,move,20t31,CtoS2,1.9451865256725287
39.080166987927164,crush_busy,0
39.080166987927164,crush_q,2
39.080166987927164,crush_busy,50t23
41.02535351359969,shvl_trv2,0
41.02535351359969,shvl_q2,1
41.065449448274485,crush_trv,1
41.065449448274485,move,50t13,S0toC,3.2546162277353066
41.065449448274485,shvl_busy0,0
41.065449448274485,shvl_q0,0
41.065449448274485,shvl_busy0,20t11
41.87863566425156,crush_trv,2
41.87863566425156,move,20t21,S1toC,1.070109922788228
41.87863566425156,shvl_busy1,0
41.87863566425156,shvl_q1,0
41.87863566425156,shvl_busy1,20t22
42.00847152022522,crush_trv,3
42.00847152022522,move,50t33,S2toC,2.655302674813263
42.00847152022522,shvl_busy2,0
42.00847152022522,shvl_q2,0
42.00847152022522,shvl_busy2,20t31
42.94874558703979,crush_trv,2
42.94874558703979,crush_q,3
43.98277408070577,shvl_trv1,1
43.98277408070577,move,50t23,CtoS1,1.0255250414449302
43.98277408070577,crush_busy,0
43.98277408070577,crush_q,2
43.98277408070577,crush_busy,20t12
44.32006567600979,crush_trv,1
44.32006567600979,crush_q,3
44.663774195038485,crush_trv,0
44.663774195038485,crush_q,4
45.008299122150696,shvl_trv1,0
45.008299122150696,shvl_q1,1
45.57278042777786,crush_trv,1
45.57278042777786,move,20t11,S0toC,2.937467034664939
45.57278042777786,shvl_busy0,0
45.596113843485895,shvl_trv0,1
45.596113843485895,move,20t12,CtoS0,2.52652037083744
45.596113843485895,crush_busy,0
45.596113843485895,crush_q,3
45.596113843485895,crush_busy,50t13
45.90987553723929,crush_trv,2
45.90987553723929,move,20t22,S1toC,1.0149858839651915
45.90987553723929,shvl_busy1,0
45.90987553723929,shvl_q1,0
45.90987553723929,shvl_busy1,50t23
46.924861421204476,crush_trv,1
46.924861421204476,crush_q,4
47.8607401619484,crush_trv,2
